CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,750,"5,955.35","6,219.30",750,"35,500.00","1,800",2.90,2.95,725,-0.35,2.95,46.99,"71,351","7,407","14,836",
,1,-,-,-,"5,525.00",-,550,"5,472.65","5,670.90",750,"36,000.00",650,3.00,3.20,"2,450",-0.30,3.20,43.63,"44,384","4,694","7,164",
,-,-,-,-,-,-,750,"4,975.85","5,117.45",225,"36,500.00","4,850",3.20,3.35,350,-0.70,3.20,39.89,"32,985","5,283","7,286",
,-,-,-,-,-,-,225,"4,507.50","4,613.60",225,"37,000.00","1,300",3.50,4.35,875,-0.10,4.35,37.46,"52,853",666,"6,783",
,-,-,-,-,-,-,750,"3,978.05","4,181.05",750,"37,500.00",900,3.85,4.15,"1,600",-1.15,3.80,33.11,"77,548","6,989","13,313",
,-,-,-,-,-,-,750,"3,833.45","4,126.15",750,"37,600.00","2,700",3.30,6.00,500,-0.90,4.20,32.75,"11,364",573,855,
,-,-,-,-,-,-,750,"3,731.75","4,026.10",750,"37,700.00",25,3.00,5.30,50,-1.00,4.40,32.17,"9,277",545,711,
,-,-,-,-,-,-,750,"3,683.25","3,921.55",750,"37,800.00","3,975",3.50,6.00,175,-1.95,3.50,30.56,"9,114",756,"1,117",
,-,-,-,-,-,-,750,"3,532.50","3,827.90",750,"37,900.00",850,4.35,4.80,900,-1.40,4.35,30.61,"12,888","1,124","1,379",
,32,5,8,-,"3,600.00",-10.90,225,"3,516.50","3,673.05",225,"38,000.00","2,175",4.60,4.90,"1,575",-1.30,4.90,30.29,"1,67,887","5,441","29,958",
,-,-,-,-,-,-,750,"3,374.40","3,624.60",750,"38,100.00","5,400",4.10,6.25,750,-1.40,5.15,29.71,"15,118",983,"1,323",
,-,-,-,-,-,-,750,"3,235.90","3,537.00",750,"38,200.00","5,000",3.35,8.05,50,-1.40,5.15,28.93,"23,646","1,438","2,320",
,-,-,-,-,-,-,750,"3,142.05","3,424.95",750,"38,300.00",300,5.55,5.70,25,-1.35,5.55,28.43,"15,314",664,"1,144",
,-,-,-,-,-,-,750,"3,042.05","3,323.65",750,"38,400.00",150,5.80,7.60,50,-1.45,5.80,27.81,"21,960",91,"1,209",
,-,-,-,-,-,-,750,"2,995.70","3,170.55",750,"38,500.00","24,050",6.15,6.50,375,-1.05,6.50,27.45,"1,80,685","13,046","29,554",
,3,-,-,-,"2,895.00",-,750,"2,880.45","3,081.65",750,"38,600.00",650,4.80,7.40,25,-1.45,6.60,26.71,"24,902",694,"1,958",
,-,-,-,-,-,-,75,"2,812.80","2,992.00",750,"38,700.00",100,6.25,7.00,250,-1.65,6.95,26.10,"38,427","2,281","3,374",
,1,-,-,-,"2,555.00",-,750,"2,687.90","2,944.50",750,"38,800.00",50,6.55,7.95,50,-1.75,7.35,25.50,"40,274","2,462","4,023",
,1,-,-,-,"2,500.00",-,750,"2,589.00","2,737.60",75,"38,900.00",50,6.00,8.30,325,-3.00,6.70,24.37,"34,432",527,"1,793",
,161,11,51,18.46,"2,624.30",-35.35,225,"2,571.15","2,637.00",75,"39,000.00","1,000",8.10,9.00,"1,550",-2.40,8.10,24.23,"3,00,996","13,072","41,700",
,-,-,-,-,-,-,"1,150","2,395.20","2,579.35",750,"39,100.00",150,8.10,9.50,75,-1.80,9.50,23.98,"39,575",797,"2,394",
,17,10,12,-,"2,380.55",-247.10,"1,275","2,300.65","2,463.85",750,"39,200.00",225,9.00,10.50,500,-3.10,9.00,22.95,"53,528","3,513","6,062",
,6,-,5,-,"2,316.40",-214.30,75,"2,249.25","2,324.70",75,"39,300.00",400,9.05,10.95,175,-2.30,10.95,22.82,"54,958","2,866","5,217",
